Name,Type,Class,Tech,Weight,Value,Status,Condition,Crew State,Quality,Assigned to,Force,Crew,Tech Crew,Maint. Cost,Next Maint.,BV,"# Repairs","# Parts",Site,Quirks,Mode
Quasimodo QSM-3D,Mek,Medium,IS experimental,55.0,"7,884,267 C-Bill",Moderate Damage,Moderate Damage,Fully Crewed,E,"Sergeant Rufus ""Odyssey"" Langdon","Alpha Lance, Carrion Crows",1/1,Sergeant Joanna Langdon,75 C-Bill,2.5 days,1672,7,4,Facility - Basic,0,Repair
Black Hawk (Nova) S,OmniMek,Medium,Clan TW,50.0,"7,023,659 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Chu-i Kage ""Zetsubo"" Ha Omi","Alpha Lance, Carrion Crows",1/1,Corporal Rolf,100 C-Bill,2.5 days,2714,0,0,Facility - Basic,2,Repair
Shadow Hawk IIC 8,Mek,Medium,Clan TW,45.0,"5,128,862 C-Bill",Moderate Damage,Moderate Damage,Fully Crewed,E,Warrior Hassim,"Alpha Lance, Carrion Crows",1/1,Corporal Sameeha Sayyar,75 C-Bill,2.5 days,2477,10,9,Facility - Basic,3,Repair
Union (Crows Nest),Dropship,Medium Dropship,IS TW non-box set,3600.0,"182,301,700 C-Bill",Undamaged,Undamaged,Fully Crewed,F,Commander Sam Hofsteder,"DropShip, Carrion Crows",10/10,Commander Sam Hofsteder,500 C-Bill,2.5 days,4488,0,0,Facility - Basic,0,Repair
Thunderbolt C 2 (Darius) Mk II,Mek,Heavy,Clan TW,65.0,"3,014,122 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Sergeant Darius ""Chemical"" Steiger","Alpha Lance, Carrion Crows",1/1,Corporal Lu-shan Bing,75 C-Bill,9.5 days,2060,0,0,Facility - Basic,3,Repair
Rommel Tank (Howitzer) Production,Tank,Heavy,IS experimental,65.0,"2,116,598 C-Bill",Undamaged,Undamaged,Fully Crewed,E,Captain Lupe Christensen,"Charlie Lance, Carrion Crows",5/5,Corporal Karina Larsen,25 C-Bill,1.5 days,1624,0,0,Facility - Basic,2,Repair
Gray Death Standard Suit [SRM](Sqd4),Battle Armor,Medium,IS TW non-box set,4.0,"522,144 C-Bill",Crippled,Crippled,Unmaintained,B,Corporal Neritan Mala,"Charlie Lance, Carrion Crows",1/1,-,200 C-Bill,1.5 days,25,7,3,Facility - Basic,0,Repair
Foot Platoon (Anti-'Mech) (Rifle),Infantry,Light,IS TW non-box set,3.0,"5,740 C-Bill",Undamaged,Undamaged,Fully Crewed,D,Lieutenant JG Annika Pensomn,"Charlie Lance, Carrion Crows",28/28,Lieutenant JG Annika Pensomn,40 C-Bill,-,77,0,0,Facility - Basic,0,Repair
Black Hawk (Nova) C,OmniMek,Medium,Clan TW,50.0,"5,106,066 C-Bill",Undamaged,Undamaged,Fully Crewed,D,Bondsman Seoh-Ling,-,1/1,Corporal Svatoslav Weckend,100 C-Bill,4.5 days,1818,0,0,Facility - Basic,2,Repair
Locust IIC 2,Mek,Light,Clan TW,25.0,"1,093,797 C-Bill",Undamaged,Undamaged,Fully Crewed,D,Sergeant Yoshiro Takamotoi,"Alpha Lance, Carrion Crows",1/1,Corporal Daryl Mak,75 C-Bill,4.5 days,1237,0,0,Facility - Basic,4,Repair
LRM Carrier (3055 Upgrade),Tank,Heavy,IS TW non-box set,60.0,"2,006,318 C-Bill",In transit (90 days),Undamaged,Unsupported,F,-,-,0/4,-,25 C-Bill,-,512,0,0,Facility - Basic,0,Repair
Maxim (I) Heavy Hover Transport,Tank,Medium,IS TW non-box set,50.0,"1,478,460 C-Bill",In transit (90 days),Undamaged,Unsupported,F,-,-,0/4,-,25 C-Bill,-,323,0,0,Facility - Basic,0,Repair
